City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Hienghene,NC,2022-03-06 23:41:44,-20.6833,164.9333,85.15,49,46,3.53
106,Santa Marta,CO,2022-03-06 23:38:05,11.2408,-74.199,87.85,55,75,11.5
107,Bilma,NE,2022-03-06 23:41:45,18.6853,12.9164,82.81,11,27,6.62
108,Sioux Lookout,CA,2022-03-06 23:41:45,50.1001,-91.917,23.38,80,100,10.36
109,Hasaki,JP,2022-03-06 23:41:45,35.7333,140.8333,45.28,39,4,9.15
110,East London,ZA,2022-03-06 23:39:16,-33.0153,27.9116,74.84,76,100,11.12
111,Baruun-Urt,MN,2022-03-06 23:41:46,46.6806,113.2792,15.22,70,10,9.86
112,Nanortalik,GL,2022-03-06 23:41:46,60.1432,-45.2371,22.8,88,100,10.29
113,Solnechnyy,RU,2022-03-06 23:41:47,50.7214,136.6319,18.5,91,95,2.3
114,Bambous Virieux,MU,2022-03-06 23:41:47,-20.3428,57.7575,79.21,89,75,14.97
115,Pasighat,IN,2022-03-06 23:41:47,28.0667,95.3333,62.4,45,0,4.38
116,Pochutla,MX,2022-03-06 23:41:48,15.7432,-96.4661,89.42,53,1,8.08
117,Asfi,MA,2022-03-06 23:41:48,32.2994,-9.2372,54.7,73,3,7.78
118,Wynyard,AU,2022-03-06 23:41:49,-41.0,145.7167,63.95,60,51,8.97
119,Georgetown,MY,2022-03-06 23:41:17,5.4112,100.3354,78.73,98,20,3.44
120,Mar Del Plata,AR,2022-03-06 23:41:49,-38.0023,-57.5575,67.08,89,75,13.0
121,Raudeberg,NO,2022-03-06 23:41:49,61.9875,5.1352,40.87,80,100,21.25
122,Severo-Kurilsk,RU,2022-03-06 23:41:50,50.6789,156.125,29.5,84,100,26.66
123,Dhupgari,IN,2022-03-06 23:41:50,26.5858,89.0145,66.52,41,0,2.8
124,Vysokogornyy,RU,2022-03-06 23:41:51,50.1167,139.15,15.55,90,100,4.05
125,Adrar,MR,2022-03-06 23:41:51,20.5022,-10.0711,62.82,17,0,11.14
126,Gondanglegi,ID,2022-03-06 23:41:51,-7.7479,112.0132,77.56,90,100,8.28
127,Manado,ID,2022-03-06 23:41:51,1.487,124.8455,79.57,89,20,2.3
128,George,ZA,2022-03-06 23:41:52,-33.963,22.4617,70.47,67,100,3.38
129,Khatanga,RU,2022-03-06 23:41:52,71.9667,102.5,-14.42,98,100,2.84
130,Lavrentiya,RU,2022-03-06 23:41:52,65.5833,-171.0,10.65,89,100,10.29
131,Port Elizabeth,ZA,2022-03-06 23:41:53,-33.918,25.5701,75.09,83,0,3.44
132,Atuona,PF,2022-03-06 23:41:53,-9.8,-139.0333,78.6,76,84,11.07
133,Port Lincoln,AU,2022-03-06 23:41:53,-34.7333,135.8667,64.53,69,96,14.99
134,Dingle,PH,2022-03-06 23:41:54,10.9995,122.6711,76.37,88,100,6.85
135,Pastos Bons,BR,2022-03-06 23:41:54,-6.6017,-44.0767,73.26,95,99,1.25
136,Sitka,US,2022-03-06 23:42:55,57.0531,-135.33,42.69,75,100,6.91
137,Vrsac,RS,2022-03-06 23:42:55,45.1167,21.3036,35.42,80,0,0.0
138,Catalao,BR,2022-03-06 23:42:55,-18.1658,-47.9464,68.09,75,5,3.09
139,Marsa Matruh,EG,2022-03-06 23:42:43,31.3525,27.2453,57.4,82,40,4.61
140,Cidreira,BR,2022-03-06 23:42:56,-30.1811,-50.2056,73.99,96,100,3.18
141,Kununurra,AU,2022-03-06 23:42:56,-15.7667,128.7333,82.38,89,100,4.61
142,Meulaboh,ID,2022-03-06 23:42:56,4.1363,96.1285,75.31,87,91,4.34
143,Yerbogachen,RU,2022-03-06 23:42:56,61.2767,108.0108,-25.78,100,100,1.39
144,Luderitz,NA,2022-03-06 23:42:57,-26.6481,15.1594,67.77,86,8,11.72
145,Cockburn Town,TC,2022-03-06 23:42:57,21.4612,-71.1419,77.04,79,2,26.15
146,Fonte Boa,BR,2022-03-06 23:42:57,-2.4959,-66.2662,74.12,92,94,3.02
147,Baykit,RU,2022-03-06 23:42:58,61.67,96.37,-2.74,99,100,3.94
148,Egvekinot,RU,2022-03-06 23:42:58,66.3167,-179.1667,12.65,94,100,10.85
149,Sorland,NO,2022-03-06 23:42:59,67.667,12.6934,37.42,97,99,22.01
150,San Policarpo,PH,2022-03-06 23:42:59,12.1791,125.5072,78.96,88,100,8.97
151,Bukachacha,RU,2022-03-06 23:42:59,52.9833,116.9167,5.52,99,100,1.07
152,Faya,SA,2022-03-06 23:43:00,18.3851,42.4509,57.31,66,8,3.8
153,Sechura,PE,2022-03-06 23:43:00,-5.5569,-80.8222,74.89,73,96,10.49
154,Codrington,AU,2022-03-06 23:43:01,-38.2667,141.9667,65.86,65,12,8.52
155,Lorengau,PG,2022-03-06 23:43:01,-2.0226,147.2712,82.18,76,99,7.05
156,Ponta Do Sol,PT,2022-03-06 23:43:01,32.6667,-17.1,61.05,72,27,2.44
157,Gagra,GE,2022-03-06 23:43:02,43.3283,40.2239,32.92,69,8,5.77
158,Esperance,AU,2022-03-06 23:43:02,-33.8667,121.9,64.24,76,14,10.4
159,Vila Franca Do Campo,PT,2022-03-06 23:43:02,37.7167,-25.4333,62.2,88,83,17.0
160,Port Hardy,CA,2022-03-06 23:43:03,50.6996,-127.4199,48.38,76,75,13.8
161,Gavrilov Posad,RU,2022-03-06 23:43:03,56.5597,40.1175,24.96,92,99,10.31
